id,name,level,time,evaluation
2,3 Numeros em Ordem Crescente,1,0.002075,CORRECT
3,Soma de uma sequência de números,1,0.003881,CORRECT
4,Figurinhas dos Irmãos,5,0.004579,WRONG_ANSWER
5,Fila de banco,6,0.007223,WRONG_ANSWER
6,Equação do Segundo Grau,2,0.001762,WRONG_ANSWER
7,Calculadora,3,-1.0,COMPILATION_ERROR
8,Matrizes,8,0.002395,WRONG_ANSWER
9,Caracteres,2,0.001561,WRONG_ANSWER
10,Festa da Marilda,2,0.001963,CORRECT
11,Tradução,6,0.00235,CORRECT
12,Lanchonete da Ambrosina,2,0.001526,CORRECT
13,MSX,4,0.001869,CORRECT
14,Posições Livres,9,0.00182,CORRECT
15,Seja Bem Vindo!,1,0.001506,CORRECT
16,Bingo,1,0.00312,CORRECT
17,Antecessor e Sucessor,1,0.001567,CORRECT
18,Menor de 3,1,0.00187,CORRECT
19,Média dos alunos,1,0.002346,CORRECT
20,Loop de inteiros,1,0.002168,CORRECT
21,Loop de ímpares,1,0.001997,CORRECT
22,Tabuada,1,0.001918,CORRECT
23,Múltiplos de Cinco,1,0.001966,CORRECT
24,Fatorial,2,0.001612,CORRECT
25,Propriedade do Invertido,2,0.001768,CORRECT
27,Jogo de Cartas-WAR,5,-1.0,TIME_LIMIT_EXCEEDED
28,Inverter com 2 algarismos,1,0.002413,WRONG_ANSWER
29,Inverter com 4 algarismos,3,0.001833,CORRECT
31,Quantos minutos se passaram,1,0.002323,CORRECT
32,Fahrenheit para Celsius,1,0.002006,CORRECT
33,Soma Frações,3,-1.0,COMPILATION_ERROR
34,Saque de banco,1,0.0025,CORRECT
35,Invertido,1,0.002405,CORRECT
36,Maior Múltiplo,1,0.001958,CORRECT
37,Segundos,1,0.001811,CORRECT
38,Perímetro,1,0.002171,CORRECT
39,Aprovado,1,0.001995,CORRECT
40,Coma bem,1,0.001715,CORRECT
41,Decrescente 3,1,0.002255,WRONG_ANSWER
42,Eleitor,1,0.002036,CORRECT
43,Igual ou diferente,1,0.001959,CORRECT
44,Intermediário 3,1,0.00167,CORRECT
45,Sistema horário,1,0.002137,CORRECT
46,Dias entre datas,4,-1.0,COMPILATION_ERROR
47,Propriedade do 3025,2,0.001646,CORRECT
48,Propriedade do Divisor,1,0.002556,CORRECT
49,Classificação de Triângulos,1,0.002176,CORRECT
50,Foto de Família,1,0.002129,CORRECT
51,Mercearia do Ambrósio,1,0.001797,WRONG_ANSWER
52,Números perfeitos,1,0.015672,CORRECT
53,Séries divergentes,2,0.001522,WRONG_ANSWER
54,Banda,5,0.009051,WRONG_ANSWER
55,Sequência de 10,1,0.001456,CORRECT
56,Matrículas Duplas,1,0.001555,WRONG_ANSWER
57,Média de n números,1,0.001775,WRONG_ANSWER
58,Olimpíadas,5,0.004646,CORRECT
61,Dama,3,0.007364,CORRECT
62,Revisão de Contrato,5,-1.0,COMPILATION_ERROR
63,Leitura Ótica,4,0.002432,CORRECT
64,O Salão do Clube,5,0.060561,WRONG_ANSWER
65,Série Fatorial,1,0.00468,WRONG_ANSWER
66,Investimento,1,0.002903,CORRECT
67,Interior da área,1,0.001731,WRONG_ANSWER
68,Frigorífico,2,0.001576,CORRECT
69,Regressão Linear,3,0.001573,WRONG_ANSWER
70,Operação com Fatoriais,3,-1.0,COMPILATION_ERROR
71,Controle de estoque,2,0.001984,WRONG_ANSWER
72,Inverso,1,0.002036,CORRECT
73,Características Físicas,5,0.002435,CORRECT
74,Iguais a n,2,0.002641,CORRECT
75,Reserva de passagens,3,0.00391,WRONG_ANSWER
76,Correção de Provas,4,0.001522,WRONG_ANSWER
77,Ordenação Ingênua,4,0.004803,CORRECT
78,Contar caracteres,1,-1.0,COMPILATION_ERROR
79,Multiplicação da Diagonal de uma Matriz,2,0.001448,WRONG_ANSWER
80,Fábrica de motores,8,0.002152,WRONG_ANSWER
84,Tráfego,3,0.003291,WRONG_ANSWER
85,Adivinhe,3,0.002319,WRONG_ANSWER
86,Ordenação de DNA,7,0.001619,CORRECT
87,Clones,4,0.002039,WRONG_ANSWER
90,TeX,5,0.00158,WRONG_ANSWER
92,Reverso e soma,3,0.001638,CORRECT
93,Gato no Chapéu,7,0.00163,WRONG_ANSWER
94,Análise Criptográfica,6,0.001633,CORRECT
95,Materiais para ambrósio,6,0.001996,CORRECT
98,Macarronada,3,0.001769,WRONG_ANSWER
99,Incendio,3,0.002259,WRONG_ANSWER
100,Avaliador de Jogo da Velha,3,0.001605,WRONG_ANSWER
101,Alinhados,3,0.001636,CORRECT
102,Cofre automático,3,0.001851,WRONG_ANSWER
103,Jolly Jumpers,3,0.006334,CORRECT
104,Forma canônica,6,0.001767,CORRECT
105,Crypt kicker,8,0.001534,WRONG_ANSWER
106,Fibonacci,4,0.001981,CORRECT
107,Inverte digitos,4,0.001998,WRONG_ANSWER
108,Histograma 02,4,0.001404,RUNTIME_ERROR
109,Histograma 03,6,-1.0,RUNTIME_ERROR
110,Histograma 04,6,-1.0,COMPILATION_ERROR
112,Histograma 05,5,-1.0,RUNTIME_ERROR
123,Mega Damas,8,0.001404,WRONG_ANSWER
124,Campo Minado,5,0.001487,CORRECT
126,Árvore Genealógica,6,0.001883,WRONG_ANSWER
129,Guerra nas estrelas,10,-1.0,COMPILATION_ERROR
130,Inversão de pontos,4,0.002159,WRONG_ANSWER
131,Colar,7,0.001702,WRONG_ANSWER
132,Robolândia,8,0.029912,CORRECT
133,Intercâmbio,4,-1.0,COMPILATION_ERROR
134,Botas perdidas,3,0.018613,CORRECT
135,Guarda costeira,3,0.001589,WRONG_ANSWER
136,Ácido Ribonucléico Alienígena,10,0.002236,WRONG_ANSWER
137,Desvio de Rua,9,0.132395,WRONG_ANSWER
138,Estacionamento,8,0.076533,CORRECT
140,Incidente em Atlântida,10,-1.0,COMPILATION_ERROR
141,Fórmula 1,6,0.016649,CORRECT
142,Plágio Musical,10,-1.0,COMPILATION_ERROR
143,Ir e Vir,9,0.057163,CORRECT
144,Álbum,4,0.002451,CORRECT
145,Demora na fila do banco,5,0.002268,CORRECT
146,Velocidade Máxima,8,-1.0,COMPILATION_ERROR
147,Soma das casas,3,0.043837,CORRECT
148,Buracos no texto,3,0.001572,CORRECT
149,Infixo para pós-fixo,6,0.001925,CORRECT
150,Ache o P1 dessa árvore,6,0.001908,CORRECT
151,Sim City,8,0.002877,CORRECT
152,Brincando com Arrays,4,0.007174,PRESENTATION_ERROR
