id,name,time,evaluation,nivel
54,Banda,0.021,CORRECT,Fácil
812,Saldo de gols,0.001,CORRECT,Médio
684,Carteiro,0.042,CORRECT,Médio
814,Dominó,0.001,CORRECT,Médio
817,Chuva (OBI),0.081s,CORRECT,Médio
813,Macaco prego,0.004,WRONG_ANSWER,Médio
2201,Piso,0.000s,WRONG_ANSWER,Médio
3598,Idade,0.000s,WRONG_ANSWER,Fácil
373,Capital,0.001,CORRECT,Médio
3599,Sequência Secreta,0.001s,CORRECT,Fácil
176,Times,0.123,CORRECT,Médio
3601,Distância entre amigos,0.001s,WRONG_ANSWER,Fácil
4662,Victor Hugo e a Task Final,0.01s,WRONG_ANSWER,Difícil
