MDC(1510,4077) = 151
MDC(4335,3404) = 1
MDC(2634,213) = 3
MDC(3176,1092) = 4
MDC(3385,846) = 1
MDC(2276,4245) = 1
MDC(1875,2366) = 1
MDC(3982,1924) = 2
MDC(2928,1164) = 12
MDC(4266,4019) = 1
MDC(82,2301) = 1
MDC(27,2868) = 3
MDC(1680,1676) = 4
MDC(1633,2554) = 1
MDC(3361,1824) = 1
MDC(4993,1977) = 1
MDC(4156,1345) = 1
MDC(3267,4650) = 3
MDC(2688,445) = 1
MDC(4850,3407) = 1
MDC(4634,3172) = 2
MDC(3577,2729) = 1
MDC(1327,1898) = 1
MDC(1503,2226) = 3
MDC(3496,440) = 8
MDC(1735,1062) = 1
MDC(4530,3116) = 2
MDC(3806,2205) = 1
MDC(1559,4310) = 1
MDC(2576,2922) = 2
MDC(2956,4229) = 1
MDC(1859,1602) = 1
MDC(2972,4651) = 1
MDC(4833,3463) = 1
MDC(1820,2702) = 14
MDC(1055,2770) = 5
MDC(3755,4355) = 5
MDC(1571,4428) = 1
MDC(4647,4319) = 1
MDC(895,1752) = 1
MDC(1552,3589) = 97
MDC(1004,1178) = 2
MDC(1831,494) = 1
MDC(2836,4425) = 1
MDC(2813,2160) = 1
MDC(777,1702) = 37
MDC(4026,2278) = 2
MDC(1616,1792) = 16
MDC(2651,4941) = 1
MDC(3953,4681) = 1
MDC(3531,2786) = 1
MDC(3293,123) = 1
MDC(1493,358) = 1
MDC(1067,3094) = 1
MDC(3946,3281) = 1
MDC(223,2730) = 1
MDC(1132,4983) = 1
MDC(4645,2123) = 1
MDC(1536,497) = 1
MDC(4241,4421) = 1
MDC(1751,1205) = 1
MDC(4800,685) = 5
MDC(3410,274) = 2
MDC(4578,3431) = 1
MDC(1781,1028) = 1
MDC(4779,2257) = 1
MDC(2816,2401) = 1
MDC(1235,4772) = 1
MDC(79,3372) = 1
MDC(3727,2637) = 1
MDC(3763,4301) = 1
MDC(2450,3436) = 2
MDC(3685,4465) = 5
MDC(946,1452) = 22
MDC(2088,1933) = 1
MDC(1741,1053) = 1
MDC(3876,4809) = 3
MDC(1254,4612) = 2
MDC(4049,3225) = 1
MDC(3544,4060) = 4
MDC(2716,644) = 28
MDC(4018,2687) = 1
MDC(1775,4241) = 1
MDC(4010,4930) = 10
MDC(4,60) = 4
MDC(830,317) = 1
MDC(2194,4647) = 1
MDC(1228,2696) = 4
MDC(2438,4005) = 1
MDC(2700,3878) = 2
MDC(1128,2267) = 1
MDC(2870,4198) = 2
MDC(290,4282) = 2
MDC(1431,256) = 1
MDC(1333,3954) = 1
MDC(641,3957) = 1
MDC(3614,2298) = 2
MDC(2599,2764) = 1
MDC(683,4964) = 1
MDC(647,637) = 1
MDC(4269,1263) = 3
MDC(3034,4892) = 2
MDC(3129,3255) = 21
MDC(3140,4085) = 5
MDC(2721,1051) = 1
MDC(3463,4665) = 1
MDC(1514,310) = 2
MDC(3662,8) = 2
MDC(1667,3700) = 1
MDC(3871,3339) = 7
MDC(3985,2182) = 1
MDC(2800,751) = 1
MDC(1490,324) = 2
MDC(104,4492) = 4
MDC(3824,975) = 1
MDC(1170,1643) = 1
MDC(4788,4459) = 7
MDC(4516,779) = 1
MDC(1062,3070) = 2
MDC(4372,1460) = 4
MDC(1115,4852) = 1
MDC(1624,3125) = 1
MDC(2529,1110) = 3
MDC(99,4437) = 9
MDC(924,2291) = 1
MDC(1185,111) = 3
MDC(1702,3843) = 1
MDC(1332,4274) = 2
MDC(465,1361) = 1
MDC(4168,2625) = 1
MDC(3516,407) = 1
MDC(4802,2267) = 1
MDC(22,4431) = 1
MDC(4302,3030) = 6
MDC(4010,4027) = 1
MDC(4366,1958) = 2
MDC(4363,1659) = 1
MDC(939,4903) = 1
MDC(2235,1760) = 5
MDC(3546,1228) = 2
MDC(992,2111) = 1
MDC(3817,3944) = 1
MDC(3058,926) = 2
MDC(3124,1335) = 1
MDC(4633,4100) = 41
MDC(4952,1671) = 1
MDC(2728,3197) = 1
MDC(4767,3501) = 3
MDC(3131,3058) = 1
MDC(4579,3824) = 1
MDC(1658,240) = 2
MDC(2153,4758) = 1
MDC(3909,3739) = 1
MDC(4439,1819) = 1
MDC(2249,2279) = 1
MDC(1058,3327) = 1
MDC(1232,4972) = 44
MDC(2198,523) = 1
MDC(252,1893) = 3
MDC(2850,1503) = 3
MDC(1310,4244) = 2
MDC(2444,2377) = 1
MDC(1000,790) = 10
MDC(371,731) = 1
MDC(1648,733) = 1
MDC(3695,3139) = 1
MDC(1955,4301) = 391
MDC(4426,2003) = 1
MDC(4982,2863) = 1
MDC(1902,2540) = 2
MDC(3224,3645) = 1
MDC(3048,4391) = 1
MDC(4842,3856) = 2
MDC(4962,27) = 3
MDC(4974,804) = 6
MDC(3922,3417) = 1
MDC(1732,169) = 1
MDC(2274,1707) = 3
MDC(4568,77) = 1
MDC(2654,4236) = 2
MDC(3412,3579) = 1
MDC(1888,1051) = 1
MDC(717,1764) = 3
MDC(601,4957) = 1
MDC(1319,2207) = 1
MDC(1186,2228) = 2
MDC(2524,630) = 2
MDC(3297,4889) = 1
MDC(1256,2481) = 1
MDC(1253,2033) = 1
MDC(915,950) = 5
MDC(3752,68) = 4
MDC(2593,2328) = 1
MDC(3952,4466) = 2
MDC(4819,4554) = 1
MDC(2902,1959) = 1
MDC(3090,930) = 30
MDC(1169,2744) = 7
MDC(4436,1341) = 1
MDC(2041,3603) = 1
MDC(652,4233) = 1
MDC(18,4775) = 1
MDC(799,2174) = 1
