caso 0:
2 116
2 16
4 150
3 55
3 36
0 21
3 42
4 135
3 84
1 58
2 40
5 36
3 60
2 123
2 48
7 96
5 8
4 40
7 228
6 132
3 86
3 158
4 147
2 16
3 152
5 70
2 84
4 175
5 282
4 139
4 140
2 90
4 103
3 66
2 39
3 28
4 186
5 84
4 265
4 30
1 6
4 78
3 60
2 32
3 108
3 51
5 66
4 144
0 24
2 42
6 273
5 175
2 105
2 13
7 201
6 0
1 62
4 12
5 90
4 198
4 110
4 1
2 36
4 150
7 234
4 150
4 133
2 25
5 9
4 192
4 13
7 408
2 81
4 90
3 44
4 67
3 26
1 51
6 210
5 18
2 42
3 120
6 60
2 100
3 68
3 56
5 198
6 30
4 16
4 5
3 12
4 72
5 2
2 10
2 90
4 175
3 188
4 157
4 25
4 195

caso 1:
2 35
3 24
3 140
3 188
3 8
4 212
3 24
2 69
2 179
2 38
2 88
5 117
4 84
1 44
2 151
4 161
4 128
4 11
2 122
2 126
4 128
5 1
2 150
4 243
5 147
2 27
4 162
3 35
3 6
5 0
4 25
2 7
3 15
1 79
4 0
6 38
4 18
3 130
5 43
2 101
4 73
2 220
4 9
2 75
2 103
1 93
2 60
5 225
3 11
2 60
4 88
4 67
3 2
1 4
2 141
3 164
2 62
4 75
1 18
3 172
2 73
4 11
2 96
1 58
2 67
1 42
5 211
1 52
2 38
3 174
1 4
0 30
4 189
3 150
2 0
5 184
2 93
3 180
4 91
2 88
6 279
4 217
4 15
2 92
4 198
2 112
5 66
4 237
4 49
2 92
4 120
5 123
2 157
2 52
4 169
3 102
2 2
0 25
6 23
3 217

caso 2:
3 140
2 25
2 115
3 66
5 310
4 200
4 155
3 72
3 182
1 25
2 112
3 18
2 33
4 25
4 14
3 0
2 142
2 72
4 25
3 35
3 17
3 150
2 62
3 42
2 77
6 7
2 51
3 102
2 152
2 45
2 15
1 16
4 56
4 135
1 116
2 41
2 17
3 66
0 9
3 138
2 7
3 6
1 24
2 60
2 87
1 84
1 52
3 146
3 220
2 50
3 92
5 243
1 106
2 127
3 90
1 72
3 6
5 183
2 105
1 39
2 132
1 66
2 47
5 7
0 45
3 136
2 112
4 54
5 176
3 17
4 42
2 157
3 122
4 84
3 101
3 98
3 0
4 224
3 80
2 145
2 77
4 25
0 16
1 63
3 92
4 170
4 169
3 36
3 185
4 48
3 143
4 48
1 84
1 16
3 132
2 17
2 152
4 16
1 64
5 290

caso 3:
2 87
2 96
2 68
2 12
3 184
4 81
4 261
1 4
3 107
6 27
4 103
2 54
2 35
6 352
3 25
1 45
5 56
3 182
2 65
2 6
4 250
3 52
6 151
1 40
3 125
2 186
2 249
3 1
4 123
3 85
2 129
2 114
2 162
4 196
3 205
1 88
2 102
3 104
1 148
2 32
3 80
3 189
2 21
2 200
3 92
4 174
4 177
2 0
5 244
2 109
3 195
2 27
3 41
6 270
0 29
3 116
3 152
3 115
3 138
5 201
4 224
2 25
4 210
6 81
2 19
3 284
3 20
2 31
3 3
5 208
3 176
2 18
4 112
1 96
1 40
2 85
1 2
2 61
5 180
5 210
3 30
5 217
5 240
2 1
4 251
3 148
1 7
0 28
5 78
4 212
2 121
5 40
3 60
5 310
3 84
3 280
4 265
5 120
4 35
2 100

caso 4:
4 320
4 357
2 102
3 160
3 272
4 204
1 144
4 161
3 285
2 203
4 60
5 39
5 273
4 190
4 294
3 93
0 22
3 5
0 85
2 90
1 60
2 255
4 53
5 188
5 274
2 42
2 80
5 292
5 31
3 217
4 398
5 246
2 126
5 282
6 168
5 366
3 44
1 13
3 106
2 123
5 371
5 34
4 268
1 117
2 33
4 235
6 208
5 405
4 44
5 20
1 24
3 34
6 397
5 241
3 114
4 110
4 320
5 216
4 125
4 71
4 321
1 102
1 289
5 400
3 136
4 334
4 246
5 146
5 356
3 284
5 324
5 353
2 318
4 288
1 13
0 15
5 414
5 58
3 190
1 115
4 372
2 117
6 158
3 331
1 334
4 308
5 210
5 46
6 316
3 181
4 259
6 331
4 134
4 50
4 15
6 5
5 148
5 304
4 156
5 40
