20
36 311
2 1 38
1 3 601
1 4 866
1 5 348
12 1 154
14 1 934
1 15 157
1 16 147
18 1 314
21 1 147
1 22 660
23 1 586
24 1 430
1 25 878
26 1 569
32 1 374
1 33 611
34 1 777
35 1 90
2 3 541
5 2 786
7 2 833
8 2 275
2 10 725
2 11 190
12 2 176
13 2 89
2 14 338
2 18 345
19 2 667
2 22 440
23 2 356
26 2 968
27 2 821
2 30 366
31 2 438
2 36 674
4 3 122
3 6 791
7 3 73
8 3 854
9 3 301
10 3 975
12 3 959
15 3 26
20 3 451
3 21 90
3 22 809
23 3 604
3 25 725
3 26 168
34 3 385
3 36 285
4 9 274
10 4 857
4 11 800
4 14 697
4 15 970
4 16 37
17 4 978
22 4 216
28 4 612
29 4 839
30 4 373
4 32 576
33 4 161
4 36 69
5 6 93
7 5 641
5 8 743
5 11 498
12 5 115
13 5 903
15 5 615
16 5 244
5 17 57
19 5 684
5 20 679
23 5 183
24 5 824
5 25 196
26 5 553
30 5 823
5 31 642
33 5 255
6 7 738
6 10 146
12 6 288
14 6 146
6 15 348
6 17 364
6 18 621
6 23 989
24 6 701
6 32 256
6 34 466
7 8 263
9 7 5
7 11 590
7 14 640
18 7 198
19 7 380
7 20 408
21 7 961
7 23 655
26 7 34
29 7 644
30 7 231
7 31 180
7 35 172
7 36 69
9 8 739
14 8 905
15 8 70
8 22 866
26 8 295
8 27 566
28 8 3
8 29 229
33 8 68
8 35 921
8 36 215
9 11 436
12 9 278
9 14 865
15 9 38
16 9 572
21 9 843
9 25 507
9 27 818
9 28 857
33 9 415
9 35 177
36 9 161
10 11 264
10 12 683
10 13 454
10 15 652
10 17 734
10 18 217
10 21 139
22 10 457
23 10 357
10 26 418
10 28 709
30 10 466
31 10 414
32 10 409
33 10 173
10 35 389
36 10 42
12 11 405
19 11 558
20 11 90
22 11 471
24 11 642
11 30 659
33 11 807
36 11 122
12 13 864
12 14 174
12 16 983
12 18 487
12 20 979
21 12 954
12 23 902
12 26 962
12 27 201
12 28 794
29 12 183
31 12 690
32 12 904
35 12 336
12 36 679
13 14 504
15 13 950
18 13 895
13 19 783
20 13 741
13 21 198
13 22 713
13 23 902
13 24 137
13 25 409
26 13 978
27 13 109
28 13 605
29 13 259
32 13 107
13 34 345
15 14 786
14 16 738
14 19 48
21 14 500
14 22 175
14 30 971
31 14 362
33 14 268
17 15 15
15 18 124
15 19 253
15 20 722
15 21 72
23 15 259
15 25 163
15 26 829
15 27 117
29 15 197
15 33 904
16 18 213
20 16 733
16 21 264
24 16 908
31 16 864
33 16 987
16 36 578
18 17 716
17 20 328
17 21 588
17 22 56
23 17 257
24 17 834
26 17 596
17 27 824
30 17 223
32 17 985
33 17 1
34 17 647
18 22 311
18 24 538
18 26 549
18 27 603
18 30 790
32 18 214
33 18 57
19 24 634
19 26 628
28 19 50
31 19 189
19 32 713
33 19 790
36 19 330
21 20 201
20 22 518
20 24 861
25 20 282
20 27 143
29 20 559
30 20 156
20 31 883
20 32 22
20 35 577
36 20 309
21 23 613
25 21 504
27 21 330
21 29 949
31 21 207
32 21 197
33 21 647
21 34 99
36 21 376
24 22 310
22 25 710
22 28 749
29 22 521
30 22 203
31 22 301
33 22 124
35 22 873
23 24 558
23 27 666
28 23 763
30 23 792
31 23 30
32 23 328
24 25 60
26 24 12
27 24 309
24 30 849
32 24 834
24 33 63
24 35 658
26 25 518
25 32 616
34 25 631
36 25 7
26 29 848
30 26 625
26 32 245
34 26 843
26 36 995
27 28 638
30 27 598
31 27 962
34 27 902
27 35 627
30 28 357
28 31 920
32 28 76
34 28 658
35 28 903
30 29 450
33 29 838
30 31 878
35 31 174
31 36 958
36 32 143
35 34 377
34 36 526
35 36 37
18
32 7 4 4 9 12 5 27 32 36 35 27 20 7 12 13 14 36
51 303
1 3 492
15 1 888
1 19 814
1 21 783
1 22 727
27 1 584
1 29 401
38 1 788
39 1 193
1 41 191
1 46 283
1 48 628
1 51 263
15 2 568
2 17 202
24 2 677
28 2 343
2 30 269
2 39 839
2 40 571
41 2 111
2 48 364
5 3 978
6 3 499
3 12 990
3 13 62
3 16 371
3 23 379
3 25 417
28 3 655
38 3 257
48 3 32
3 50 279
6 4 481
12 4 726
4 20 782
4 23 461
4 25 377
28 4 657
4 30 292
4 40 619
44 4 440
4 45 275
49 4 958
4 51 149
10 5 979
15 5 283
23 5 561
5 24 315
25 5 20
5 30 771
31 5 162
5 32 946
33 5 127
45 5 216
6 8 247
6 9 57
6 11 493
6 19 909
6 22 132
6 28 668
32 6 492
6 33 217
41 6 216
44 6 852
6 48 189
6 51 964
8 7 573
12 7 813
18 7 85
7 20 518
7 22 724
24 7 822
26 7 357
32 7 577
7 36 326
7 38 725
