2
1000 2000
62 19 -30
507 451 -47
698 234 5
573 781 28
524 236 -13
459 302 -28
394 362 -61
500 484 24
128 125 -31
379 110 -43
242 525 28
283 384 -21
358 83 -35
933 8 -54
931 532 -66
41 344 -11
883 738 3
444 591 -13
191 719 12
582 451 -25
209 45 0
208 680 -64
657 38 19
693 972 -20
861 255 -36
618 296 8
677 531 -1
450 976 -58
707 167 -39
442 101 -36
639 311 10
361 871 -10
467 528 29
9 573 -47
559 787 8
993 405 -43
124 82 -12
993 884 -36
805 591 -17
688 385 -15
23 24 -52
755 737 19
815 205 -53
266 214 -27
689 125 -40
720 470 17
47 594 -49
905 587 -65
92 744 -22
445 433 16
252 808 -60
370 563 -22
359 730 -65
229 349 -51
672 390 26
254 110 -4
593 157 -9
14 415 -70
319 507 -25
919 304 -40
905 557 20
268 279 -65
368 639 17
673 868 -34
544 892 -43
540 498 19
6 91 -23
419 457 -56
420 776 3
517 47 -41
399 953 -32
89 221 -52
694 589 -13
381 262 7
770 158 -1
197 698 -51
86 56 -60
485 476 -3
651 248 25
324 117 -28
6 516 -23
244 605 -2
762 651 -61
271 384 -47
648 154 11
269 351 -39
388 790 18
950 627 -54
969 279 -6
116 955 -37
311 961 -21
458 206 -64
179 320 -13
488 592 -29
412 592 -22
845 214 -19
977 602 -29
165 905 -1
533 226 -70
149 343 -15
882 654 -53
131 464 5
337 643 25
546 484 17
139 248 -38
887 93 -24
339 70 -70
932 587 -65
801 120 14
653 269 -43
109 151 -37
878 634 -21
853 971 -25
500 517 -41
388 9 -41
572 896 -48
618 235 -25
618 168 14
876 321 -65
360 975 -44
539 436 -40
372 314 -6
21 519 18
666 19 -65
147 759 -4
876 331 -7
51 949 -20
648 920 0
832 796 22
489 508 -51
416 47 -15
846 419 -49
262 792 22
650 811 -59
908 958 -47
174 187 -64
337 238 -62
88 886 -42
358 70 6
302 560 14
573 976 -39
280 174 -68
653 436 24
545 439 -13
809 347 -54
832 521 -67
538 211 23
546 651 -39
826 361 -69
902 16 -9
838 589 19
469 870 -55
223 523 -66
770 69 -27
127 230 -28
795 62 -7
650 952 -44
743 851 7
74 677 21
828 932 -63
141 770 26
431 592 -4
598 815 -28
202 937 -7
597 65 23
339 212 -15
955 863 -11
781 606 -60
611 33 18
802 213 2
9 354 -28
805 137 -36
824 736 -68
718 290 -31
681 888 -14
226 227 -1
833 182 -38
392 316 20
803 927 5
243 729 18
615 90 -27
109 247 10
844 423 -54
98 141 -63
289 174 -23
898 400 4
367 233 -61
51 978 7
693 781 -66
369 376 15
257 343 -43
852 452 4
233 648 28
701 746 21
460 36 -4
107 934 -52
334 653 -66
95 56 12
172 749 -55
528 118 -27
613 728 16
492 580 -32
266 165 17
816 867 -37
508 679 -49
726 787 -63
696 473 -10
900 568 -2
434 92 -52
749 620 18
792 585 -2
530 77 -21
369 695 -4
208 512 -37
441 372 -5
415 98 -66
322 146 7
