caso 0:
4 10
5 78
6 91
6 129
5 90
4 150
5 150
4 73
3 146
2 64
2 101
4 102
4 28
4 133
4 85
3 158
4 90
4 130
4 126
4 105
6 84
6 128
6 210
4 7
5 114
2 60
5 84
5 78
3 68
3 52
3 0
4 114
5 66
4 0
4 24
3 61
3 176
4 145
3 108
4 109
5 150
3 168
3 45
4 140
5 22
5 12
5 144
5 204
3 68
4 84
6 147
2 17
4 30
2 95
3 84
2 105
3 104
3 120
3 144
5 72
5 216
4 25
6 7
4 151
4 128
3 86
2 117
4 114
5 6
4 30
3 168
3 20
4 54
6 147
5 8
4 174
5 150
5 126
3 122
3 120
3 35
4 30
3 72
4 115
6 249
4 60
5 141
3 56
4 30
4 36
3 116
5 24
3 20
4 150
5 190
5 90
5 186
4 119
5 112
4 84
3 20
5 138
2 37
2 95
4 219
4 102
6 203
5 132
4 48
3 21
6 112
4 25
4 31
5 54
5 66
5 84
6 160
3 56
4 19
3 56
3 64
3 14
4 85
2 152
5 211
4 109
5 18
3 2
5 84
4 180
1 72
6 105
3 0
4 96
3 110
3 88
2 32
3 152
4 18
4 169
6 126
6 63
4 61
4 90
5 132
4 163
4 61
3 150
4 20
2 115
1 20
3 64
4 30
4 85
5 210
3 135
3 80
2 75
3 150
4 112
4 132
5 106
4 35
1 76
1 94
2 116
4 36
3 91
4 31
4 126
5 29
4 174
5 18
5 174
3 75
3 35
4 55
4 86
3 20
5 85
6 84
5 24
4 42
4 125
3 52
3 75
5 85
4 66
3 131
4 107
5 6
3 146
4 109
6 210
4 96
3 150
4 70
3 2
6 0
3 6
4 31
4 180
0 1
2 27
4 139
4 121
5 119
5 169
3 146
4 60
0 31
5 218
5 126
3 121
6 161
4 91
5 8
3 40
6 63
3 0
5 203
3 120
3 18
3 40
4 78
4 84
4 54
3 60
6 105
4 155
3 136
3 85
2 2
4 60
3 81
6 196
4 61
4 24
4 115
4 169
4 91
5 35
5 29
3 92
4 95
5 186
3 70
3 164
5 138
1 25
4 144
4 37
3 56
4 157
4 54
2 93
3 0
3 45
6 63
5 22
5 24
1 40
4 55
5 72
4 79
5 84
4 85
4 155
2 12
4 42
4 120
4 36
6 152
4 108
5 42
3 10
4 65
5 211
5 108
4 0
5 168
5 180
4 37
4 19
2 6
3 60
4 72
4 151
4 156
2 57
5 211
4 24
5 127
5 113
5 63
3 105
5 12
7 128
3 108
3 92
4 186
4 84
3 100
5 24
5 30
3 164
4 60
4 35
5 90
5 56
5 183
4 145
3 76
5 186
4 105
4 144
4 121
3 78
3 5
3 75
3 126
4 90
4 130
4 0
4 65
6 21
5 0
3 26
4 48
5 43
4 1
4 19
2 5
5 6
5 60
4 80
2 32
4 180
4 109
5 70
5 120
4 181
6 154
4 36
5 218
2 82
3 5
4 73
5 102
1 79
5 144
4 180
4 67
3 182
4 70
4 67
4 55
4 168
5 105
5 12
4 139
4 65
3 120
5 175
4 31
4 56
5 49
3 155
4 73
4 55
5 120
4 60
3 104
4 65
4 30
6 203
6 140
5 150
4 95
4 105
3 44
4 0
4 49
4 0
4 78
4 138
3 60
3 56
3 20
3 96
4 150
5 72
2 29
5 63
3 162
3 18
4 186
5 70
4 181
4 72
1 38
3 56
5 78
4 174
2 117
4 168
3 6
4 72
2 140
5 190
5 132
3 116
5 180
3 135
5 156
5 196
2 107
2 42
4 156
5 6
2 85
3 71
3 40
5 29
3 76
3 125
6 81
6 9
5 6
3 174
5 22
3 61
4 0
3 32
6 193
3 6
3 126
3 132
4 121
6 91
1 40
4 79
4 55
4 35
5 66
5 169
4 139
4 110
3 20
2 60
5 148
5 196
5 186
1 25
6 21
5 85
6 189
6 14
3 68
4 95
3 116
3 105
5 176
4 180
2 0
4 103
3 135
4 25
5 180
4 18
2 20
4 119
4 125
5 72
4 120
5 15
3 96
4 85
5 120
4 140
4 100
4 100
3 4
4 1
3 126
0 35
5 36
2 97
4 103
3 150
4 78
4 128
4 196
5 144
4 168
5 77
2 109
4 70
5 64
3 130
3 24
4 90
3 40
4 169
4 30
4 151
3 110
4 135
4 109
4 36
2 8
3 35
3 36
3 52
3 46
4 0
4 40
2 57
4 120
4 42
5 174
2 47
3 74
4 50
4 100
5 99
5 174
2 9
6 203
4 163
4 67
4 121
2 84
4 90
4 125
6 42
4 15
5 189
4 60
5 210
3 125
6 189
6 77
2 125
5 91
3 135
2 42
5 54
4 45
3 135
4 48
4 151
5 85
5 49
4 67
2 21
4 91
4 1
3 75
5 30
2 9
6 182
4 48
5 204
3 24
2 24
4 49
6 63
4 50
4 140
4 70
4 19
5 120
5 7
4 196
3 31
5 57
3 36
5 72
4 187
3 80
5 18
2 66
4 127
4 18
4 175
4 115
4 6
5 242
5 133
3 60
6 203
4 139
5 114
3 146
6 77
3 150
3 62
2 16
4 12
4 78
4 60
1 57
3 5
5 36
3 95
3 68
2 4
5 60
4 91
5 144
3 136
4 79
3 140
4 149
6 210
4 115
7 32
2 72
4 30
5 102
4 37
4 212
3 8
5 84
3 150
4 103
4 85
2 18
6 21
2 37
6 126
6 182
4 37
7 232
3 30
6 98
3 48
3 5
5 186
5 56
3 65
3 88
5 128
5 180
2 35
4 18
4 156
4 54
5 102
5 126
5 12
6 0
5 168
6 112
5 138
4 66
3 52
4 12
4 7
5 147
3 26
2 112
3 170
1 20
4 156
5 60
5 150
2 37
4 108
3 105
2 85
3 122
6 63
6 70
4 145
1 33
4 20
4 128
3 90
4 135
3 91
6 140
3 38
4 42
4 1
4 30
3 74
5 90
2 21
2 107
4 85
5 218
4 24
3 51
5 50
5 102
4 45
5 120
3 0
5 54
5 6
4 187
4 168
4 133
5 8
3 40
2 93
3 5
2 76
5 240
4 79
3 66
4 103
4 0
5 105
4 135
4 145
2 92
4 130
3 110
5 42
2 15
3 61
4 85
5 21
4 72
5 77
4 42
5 54
3 30
3 76
6 35
3 98
1 33
4 120
6 35
6 203
6 105
4 72
4 95
5 99
4 102
5 78
4 151
4 109
5 138
3 21
5 85
3 44
5 132
4 0
5 96
5 24
3 60
5 99
2 36
4 84
5 24
3 95
5 12
3 100
5 120
5 174
3 86
3 122
4 35
4 18
4 105
6 133
3 156
6 129
5 168
5 36
3 135
3 88
3 88
4 150
5 132
5 156
3 96
4 168
5 12
3 46
2 52
4 75
4 121
4 121
3 52
3 146
5 12
3 146
2 120
3 36
5 66
3 104
3 95
5 174
4 105
5 120
2 17
2 112
5 114
4 155
3 61
6 63
3 120
4 115
4 6
3 164
4 145
5 162
3 16
5 42
5 48
4 174
2 96
3 0
3 15
5 72
5 29
2 132
4 35
4 138
4 181
3 152
4 120
1 68
4 13
5 114
6 0
4 80
3 25
5 196
3 24
3 62
3 88
2 82
3 140
2 70
4 85
6 49
4 151
6 203
2 28
3 60
5 84
4 139
4 0
5 50
4 186
5 132
4 73
5 63
3 120
5 120
5 48
6 147
2 97
4 127
6 96
3 30
2 30
6 84
4 150
5 24
5 21
5 18
4 78
4 49
3 120
3 50
4 6
4 35
3 92
5 132
4 140
2 9
3 40
3 72
5 78
6 196
5 12
5 66
3 158
5 78
5 134
4 0
4 91
5 36
4 66
3 65
4 96
3 155
3 116
4 108
5 42
4 0
5 204
4 115
5 168
2 110
3 40
4 85
5 96
5 217
5 50
4 60
5 66
4 217
5 0
6 84
4 157
6 63
4 15
1 88
3 46
3 12
5 0
4 80
4 9
4 79
5 72
4 163
4 25
4 110
2 15
4 126
3 126
3 80
5 77
5 150
2 7
5 120
4 114
3 15
3 42
4 84
5 102
2 53
3 25
4 130
3 144
3 30
3 45
2 40
4 35
4 102
2 120
5 72
3 111
3 116
3 152
2 65
5 64
5 186
4 30
6 42
4 180
3 135
4 5
4 140
5 126
2 60
4 85
5 84
5 138
4 84
4 45
4 80
3 20
5 12
3 100
6 210
2 124
5 42
4 60
5 78
3 111
5 6
1 27
3 36
4 162
3 40
4 103
4 60
3 50
4 91
4 138
0 18
6 140
3 60
3 52
4 30
4 19
5 78
5 156
2 100
5 132
4 110

caso 1:
4 30
4 110
5 156
5 24
4 50
2 18
3 84
4 60
2 30
4 90
4 135
4 70
1 16
4 35
3 60
4 140
3 124
3 51
4 100
5 84
4 15
4 12
4 108
4 70
3 91
4 100
4 110
3 0
5 42
3 28
5 72
3 96
4 150
5 150
4 150
4 72
2 0
2 45
4 5
4 5
3 0
4 40
3 96
2 36
3 80
2 84
3 45
3 44
3 48
3 40
4 91
4 30
4 95
4 15
4 85
2 12
1 58
4 80
3 68
4 145
4 42
5 156
3 28
4 45
3 76
1 44
2 120
3 12
3 32
5 24
2 40
3 24
4 135
3 111
4 55
2 49
4 110
4 102
4 20
3 44
5 78
5 144
4 100
2 145
1 54
5 168
4 155
5 102
5 186
4 15
4 186
5 162
4 110
4 135
2 0
3 68
2 121
2 36
3 110
4 85
4 90
5 36
4 110
3 55
4 140
3 72
3 92
3 16
4 125
3 4
3 80
3 140
3 120
3 100
1 6
5 186
2 21
3 48
3 120
4 35
4 65
3 84
3 116
4 155
4 110
4 155
3 16
3 92
4 140
4 151
3 115
4 108
4 85
3 108
3 106
4 155
4 90
3 44
4 49
5 108
3 15
5 144
5 12
0 5
2 32
3 84
4 45
4 30
2 63
3 100
4 120
3 112
4 60
5 12
4 72
1 74
4 155
5 102
3 6
3 65
3 140
3 56
3 28
1 42
3 125
2 147
4 15
5 120
3 6
3 52
4 50
2 100
1 54
2 72
3 1
3 16
3 20
3 72
5 66
3 121
4 130
4 140
1 22
5 180
4 150
4 144
4 130
2 87
3 31
3 4
4 45
4 0
2 16
3 60
4 40
3 48
3 75
5 48
3 88
4 95
5 120
4 140
5 60
3 40
3 28
4 155
4 50
3 52
4 140
4 55
2 21
3 76
3 120
3 116
4 140
3 25
2 39
3 48
2 68
3 124
3 12
5 156
5 126
5 168
5 186
4 10
4 60
3 76
3 124
3 110
3 116
2 41
2 120
4 100
5 12
3 81
4 15
3 8
3 15
2 57
4 35
4 0
1 54
3 156
5 90
2 101
4 140
3 56
2 72
5 132
3 40
3 60
4 20
5 144
4 75
4 95
5 60
3 120
3 81
4 130
3 32
4 75
4 75
3 92
2 0
4 145
4 45
4 55
5 30
4 100
4 40
4 145
1 20
3 48
4 30
3 150
1 91
5 186
4 65
4 102
3 76
4 40
2 15
4 40
4 10
2 30
3 30
4 80
4 55
3 88
5 66
4 5
4 60
2 75
5 150
3 60
3 102
4 120
5 168
5 132
1 10
3 108
4 25
5 6
4 95
2 1
3 92
2 57
3 92
5 126
1 10
5 162
4 140
4 79
3 12
3 120
4 70
4 35
2 39
5 138
4 70
4 80
5 78
5 150
4 90
3 8
5 138
3 41
5 18
4 30
5 102
3 60
2 37
4 65
2 21
1 3
5 132
3 101
4 140
2 42
3 52
2 45
3 35
4 65
5 84
4 125
4 150
3 12
4 10
3 8
4 115
4 20
4 20
4 60
3 8
4 135
4 145
2 51
3 24
4 157
3 130
4 65
3 8
5 180
3 84
5 156
5 84
5 108
3 112
5 150
4 30
1 66
4 75
4 95
4 90
5 42
3 24
2 6
5 84
2 145
4 181
3 104
5 114
2 93
2 39
3 56
3 80
4 80
3 108
4 145
4 140
4 85
3 8
5 30
2 84
4 60
4 0
4 20
4 60
4 181
5 144
3 105
3 36
3 92
4 45
3 66
4 70
3 112
4 135
4 65
2 120
4 105
5 30
5 168
5 30
4 187
5 114
4 90
2 68
4 145
2 37
4 60
3 72
3 12
5 96
5 144
2 97
5 24
5 138
4 126
4 120
5 78
4 40
3 41
4 30
3 112
3 52
4 25
4 125
1 93
3 84
5 144
2 97
4 20
3 84
5 30
4 15
4 50
4 31
4 35
4 10
5 66
3 40
2 12
1 90
3 156
3 88
3 116
3 8
4 145
3 0
5 138
4 15
2 15
3 24
4 132
3 32
3 96
3 0
3 136
5 102
4 20
4 50
4 65
2 73
4 15
1 26
4 65
4 50
4 55
5 6
4 35
4 15
3 151
3 55
2 90
4 105
4 145
4 10
3 52
3 68
5 138
4 78
3 80
4 150
5 12
4 75
3 80
3 60
3 12
4 186
5 162
2 44
3 32
5 138
5 84
4 105
4 50
5 18
3 28
4 43
4 85
2 20
4 10
3 48
2 42
3 44
4 75
4 155
4 95
1 36
3 124
4 55
2 48
4 140
4 0
2 5
4 135
4 43
2 45
4 50
5 12
3 16
2 104
1 46
1 10
4 95
5 120
3 105
3 46
2 77
5 90
3 92
3 61
3 76
4 169
1 30
3 32
4 100
5 42
3 114
4 95
3 56
5 42
1 30
4 125
3 72
4 65
4 42
2 24
4 115
2 0
3 76
5 78
3 16
3 84
3 12
4 100
3 120
5 180
5 24
5 30
3 10
3 50
4 15
3 12
5 126
4 60
3 16
4 40
2 24
5 150
3 76
4 66
5 96
2 42
3 80
4 20
5 120
3 48
5 90
3 26
3 60
3 20
4 125
2 56
4 30
3 80
3 6
4 120
4 115
3 84
2 93
4 25
4 25
3 4
4 125
2 18
2 72
3 60
4 55
3 116
4 95
5 12
3 68
1 46
3 31
4 180
3 84
1 72
3 32
5 180
3 32
5 162
2 27
3 84
4 50
3 61
3 31
4 35
3 30
3 40
5 36
2 75
4 75
4 80
2 57
5 126
5 54
3 104
4 85
2 85
5 126
2 37
4 40
2 42
4 105
4 70
2 93
5 30
4 50
5 6
3 86
2 51
2 37
3 84
5 0
1 2
5 168
3 80
3 24
3 116
4 145
4 97
2 72
3 80
4 150
4 135
2 42
3 120
4 5
